"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss1_1","-40.29","-3.83","-4.2","-3.77","-3.34","-2.84","-2.2","-1.84","-0.72","-0.14","0.2","0.05","-0.14","0.38","0.66","0.88","1.38","1.11","1.45","1.95","2.12","2.22","2.25","2.39","2.84","2.74"
"length_rss1_2","-48.22","-3.54","-3.94","-4.75","-5.06","-5.45","-4.59","-3.29","-2.7","-3.27","-3.61","-3.18","-2.1","-1.14","1.08","2.47","3.53","3.77","4.86","5.17","5.23","5.19","4.62","4.21","3.09","1.74"
"length_rss1_3","-53.05","-0.93","1.6","1.76","0.78","0.75","0.47","0.2","0.69","0.73","-0.1","-0.4","-0.84","-0.59","0.24","0.8","-0.27","-0.91","-0.64","-0.51","-0.94","-0.42","-0.54","-0.2","-0.55","-1.66"
"length_rss1_4","-46.0","1.54","2.47","2.22","2.66","3.11","2.38","2.28","2.29","1.87","0.81","0.77","0.84","0.09","-0.57","-0.86","-1.4","-1.6","-1.61","-1.84","-2.25","-2.72","-3.04","-3.02","-3.21","-3.02"
"length_rss1_5","-37.62","3.3","2.81","2.86","3.12","4.17","4.91","4.57","4.24","3.43","2.39","0.86","-0.13","-0.9","-1.88","-3.3","-3.77","-4.32","-4.39","-4.13","-3.64","-2.86","-2.04","-1.98","-2.26","-1.98"
"length_rss1_6","-49.4","2.6","3.47","3.64","2.91","3.21","1.78","1.48","1.77","0.8","1.34","2.94","2.96","1.12","-0.2","-1.65","-1.25","-0.12","0.53","0.49","-0.95","-4.87","-6.63","-5.85","-5.85","-4.6"
"length_rss1_7","-37.82","-3.54","-3.18","-2.68","-2.64","-2.27","-3.1","-4.08","-4.93","-5.79","-5.33","-4.28","-3.37","-1.11","0.48","2.54","3.81","4.49","4.99","4.84","4.12","3.44","3.31","4.19","4.58","5.18"
"length_rss1_8","-49.98","-2.76","-4.13","-5.46","-5.82","-6.27","-6.46","-4.79","-1.7","0.13","1.74","2.09","1.84","1.23","1.43","2.51","3.1","1.83","1.07","1.19","0.26","-0.47","0.09","2.45","6.66","9.29"
"length_rss1_9","-43.83","14.52","15.31","15.35","13.36","10.57","7.89","5.63","5.14","8.1","7.39","5.14","1.22","-1.35","-2.64","-3.27","-5.26","-6.33","-7.59","-10.38","-12.34","-13.94","-13.93","-12.22","-10.36","-10.55"
"length_rss1_10","-63.25","-5.04","-5.04","-3.25","-2.45","-1.36","-0.69","-0.89","-1.27","-1.02","-0.97","-1.1","-0.34","0.2","0.83","2.49","2.81","2.59","2.2","2.36","2.15","2.33","2.3","1.73","1.18","-0.16"
